name,index
Burgwallen-Oude Zijde,311
Burgwallen-Nieuwe Zijde,309
Grachtengordel-West,174
Grachtengordel-Zuid,284
Nieuwmarkt / Lastage,180
Haarlemmerbuurt,81
Jordaan,124
De Weteringschans,178
Weesperbuurt / Plantage,119
Oostelijke Eilanden / Kadijken,95
Spaarndammerbuurt / Zeeheldenbuurt / Houthavens,130
Staatsliedenbuurt,66
Frederik Hendrikbuurt / Centrale Markt,106
Da Costabuurt,100
Bellamybuurt,91
Van Lennepbuurt,85
Helmersbuurt / Vondelparkbuurt,148
Overtoomse Sluis,62
Landlust / Sloterdijk-West,111
Erasmuspark,75
De Kolenkit,91
Geuzenbuurt,92
Chassébuurt,57
Van Galenbuurt,67
Hoofdweg e.o.,81
Westindische Buurt,65
Slotermeer-Noordoost,113
Slotermeer-Zuidoost,172
Slotermeer-West,103
Geuzenveld,140
Osdorp-Oost,99
Osdorp-Midden,105
De Punt,108
De Aker / Lutkemeer / Ookmeer,65
Slotervaart-Noord,74
Slotervaart-Zuid,110
Overtoomse Veld,106
Westlandgracht,132
Sloten / Nieuw-Sloten,70
Zuidas / Prinses Irenebuurt e.o.,133
Oude Pijp,96
Nieuwe Pijp,87
Zuid Pijp,58
Hoofddorppleinbuurt,114
Schinkelbuurt,70
Willemspark,100
Museumkwartier,165
Stadionbuurt,120
Apollobuurt,114
Scheldebuurt,76
IJselbuurt,93
Rijnbuurt,87
Buitenveldert-West,70
Buitenveldert-Oost,73
Weesperzijde,142
Oosterparkbuurt,141
Dapperbuurt,137
Transvaalbuurt,92
Indische Buurt-West,73
Indische Buurt-Oost,109
Oostelijk Havengebied,67
Zeeburgereiland / Bovendiep,143
IJburg-West,43
IJburg-Oost / IJburg-Zuid,54
Frankendael,111
Middenmeer,87
Betondorp,67
Omval / Overamstel,126
Volewijck,135
Ijplein / Vogelbuurt (Noordelijke IJ-oevers-Oost),138
Tuindorp Nieuwendam / Buiksloot / Ndammer- / Buiksloterdijk,66
Tuindorp Oostzaan,65
Oostzanerwerf / Kadoelen,109
Waterlandpleinbuurt,89
Buikslotermeer,132
Banne Buiksloot,79
Noordelijke IJ-oevers-West,150
Waterland,121
Elzenhagen,95
Venserpolder,116
Amsterdamse Poort e.o.,155
H-buurt,118
Ganzenhoef e.o.,156
Bijlmermuseum,137
Geerdinkhof / Kantershof,61
K-buurt,89
Nellestein,145
Holendrecht,119
Reigersbos / Amstel III / Bullewijk,186
Gein,70
Driemond,38
Diemen Noord,43
Diemen Centrum,74
Diemen Zuid,116
Holland Park,69
Amstelveen Noord,71
Amstelveen Oost,56
Amstelveen Oud Zuid,58
Amstelveen Nieuw Zuid,48
Amstelveen Westwijk e.o.,47
Duivendrecht,162
Ouderkerk a/d Amstel,43
Thamerdal en Centrum,67
Zijdelwaard,54
Legmeer en meerwijk,33
De Kwakel en Buitengebied,30
Kudelstaart,22
Hornmeer,56
Oosteinde,40
Centrum / Zuid,44
Weesp Binnenstad / Zuid,59
Weesp-Noordwest,79
Weesp Aetsveld / Oostelijke Vechtoever,54
Weesp Hogewey,54
Weesp Bloemendalerpolder,25
